observ;barrio;calle;altura;institu1;institu3;distanci;edpub;estserv;banco;totrob;mes
514;V. Crespo;R. S. Ortiz;a100;0;0;2;0;0;0;0;4
609;V. Crespo;Olaya;a1400;0;0;3;0;0;0;0;4
656;V. Crespo;Camargo;a300;0;0;2;0;0;0;0;4
509;V. Crespo;Malabia;a300;0;1;1;0;0;0;1;4
572;V. Crespo;Luis Viale;a0-100;0;0;2;0;0;0;0;4
520;V. Crespo;Araoz;a100;0;0;3;0;0;0;0;4
653;V. Crespo;Camargo;a0-100;0;0;2;0;0;0;0;4
614;V. Crespo;Hidalgo;a1100;0;0;3;0;0;0;0;4
638;V. Crespo;Murillo;a500;0;1;1;0;0;0;0;4
646;V. Crespo;Padilla;a400;0;0;2;0;0;0;0;4
556;V. Crespo;Angel Gallardo;a800;0;0;4;0;0;1;0;4
557;V. Crespo;Angel Gallardo;a900;0;0;4;0;1;0;0;4
564;V. Crespo;Antezana;a200;0;1;1;0;0;0;0;4
617;V. Crespo;Hidalgo;a1400;0;1;1;0;0;0;0;4
618;V. Crespo;Hidalgo;a1500;0;0;2;0;0;0;0;4
507;V. Crespo;Malabia;a100;0;1;1;0;0;0;0;4
559;V. Crespo;Ferrari;a200;0;0;2;0;0;0;0;4
629;V. Crespo;Leopoldo Marechal;a1200;0;0;3;0;0;0;0;4
610;V. Crespo;Olaya;a1500;0;0;4;0;0;0;0;4
628;V. Crespo;Leopoldo Marechal;a1100;0;0;3;0;0;0;1;4
565;V. Crespo;Antezana;a300;0;0;2;0;0;0;0;4
622;V. Crespo;Acoyte;a1100;0;0;3;0;0;0;0;4
623;V. Crespo;Acoyte;a1200;0;0;2;0;0;0;0;4
554;V. Crespo;Angel Gallardo;a600;0;0;4;0;1;0;0;4
551;V. Crespo;Angel Gallardo;a300;0;0;3;0;0;0;0;4
519;V. Crespo;Araoz;a0-100;0;0;2;0;0;0;1;4
537;V. Crespo;Lavalleja;a100;1;1;0;0;0;0;1;4
553;V. Crespo;Angel Gallardo;a500;0;0;3;1;0;0;0;4
657;V. Crespo;Camargo;a400;0;0;2;0;0;0;0;4
567;V. Crespo;Apolinario Figuer;a0-100;0;0;2;0;0;0;0;4
525;V. Crespo;Julian Alvarez;a100;0;0;2;0;0;0;1;4
569;V. Crespo;Apolinario Figuer;a200;0;0;2;0;0;0;0;4
615;V. Crespo;Hidalgo;a1200;0;0;2;0;0;0;0;4
560;V. Crespo;Ferrari;a300;0;0;3;0;0;0;0;4
717;V. Crespo;Warnes;a300;0;0;2;0;0;0;0;4
575;V. Crespo;Luis Viale;a300;0;0;4;0;0;0;0;4
574;V. Crespo;Luis Viale;a200;0;0;3;0;0;0;0;4
562;V. Crespo;Antezana;a0-100;0;1;1;0;0;0;0;4
719;V. Crespo;Warnes;a500;0;0;2;0;0;0;0;4
508;V. Crespo;Malabia;a200;1;1;0;0;0;0;0;4
531;V. Crespo;Mahatma Gandhi;a700;0;0;4;0;0;0;0;4
607;V. Crespo;Olaya;a1200;0;0;2;0;0;0;0;4
563;V. Crespo;Antezana;a100;1;1;0;0;0;0;0;4
648;V. Crespo;Padilla;a600;0;1;1;0;0;0;0;4
542;V. Crespo;Frias;a0-100;0;0;2;0;0;0;0;4
645;V. Crespo;Padilla;a300;0;0;3;0;0;0;0;4
536;V. Crespo;Lavalleja;a0-100;0;1;1;0;0;0;0;4
621;V. Crespo;Del Parque;a1200;0;0;2;0;0;0;0;4
714;V. Crespo;Warnes;a0-100;0;0;2;0;0;0;0;4
644;V. Crespo;Padilla;a200;0;0;2;0;0;0;0;4
568;V. Crespo;Apolinario Figuer;a100;0;0;2;0;0;0;0;4
624;V. Crespo;Acoyte;a1300;0;1;1;0;0;0;1;4
616;V. Crespo;Hidalgo;a1300;0;1;1;0;0;0;0;4
606;V. Crespo;Olaya;a1100;0;0;3;0;0;0;0;4
552;V. Crespo;Angel Gallardo;a400;0;0;3;0;0;0;0;4
654;V. Crespo;Camargo;a100;0;1;1;0;0;0;0;4
718;V. Crespo;Warnes;a400;0;0;2;0;0;0;0;4
608;V. Crespo;Olaya;a1300;0;0;2;0;0;0;0;4
573;V. Crespo;Luis Viale;a100;0;0;3;0;0;0;0;4
532;V. Crespo;Julian Alvarez;a200;0;0;2;0;0;0;0;4
